,season_year,city,sum,mean,count
0,1969,Atlanta,1.361145861566241,0.6805729307831205,2
1,1969,Baltimore,3.15302079793742,1.57651039896871,2
2,1969,Bay Area,0.6830606246914654,0.17076515617286636,4
3,1969,Boston,2.285657103598649,0.7618857011995496,3
4,1969,Chicago,-2.440298962251978,-0.4880597924503956,5
5,1969,Cincinnati,0.5350216729317572,0.2675108364658786,2
6,1969,Cleveland,-1.2427368538746462,-1.2427368538746462,1
7,1969,Dallas,1.0845390988860701,1.0845390988860701,1
8,1969,Detroit,0.5394160436899075,0.13485401092247687,4
9,1969,Green Bay,0.1501670099407757,0.1501670099407757,1
10,1969,Houston,0.0003283594574203648,0.0003283594574203648,1
11,1969,Kansas City,-0.8010069732611491,-0.8010069732611491,1
12,1969,Los Angeles,-0.26882183348916744,-0.06720545837229186,4
13,1969,Milwaukee,-1.1241316803953563,-1.1241316803953563,1
14,1969,Minnesota,0.9064011909543888,0.30213373031812957,3
15,1969,Montreal,-0.44540470690691514,-0.22270235345345757,2
16,1969,New Orleans,-0.6507234107442935,-0.6507234107442935,1
17,1969,New York,3.110226773562875,0.7775566933907188,4
18,1969,Philadelphia,-1.6890423041471445,-0.42226057603678613,4
19,1969,Phoenix,-2.0053983048925104,-2.0053983048925104,1
20,1969,Pittsburgh,-0.912621075730834,-0.456310537865417,2
21,1969,San Diego,-2.258016483052692,-1.129008241526346,2
22,1969,Seattle,-2.01569356139575,-1.007846780697875,2
23,1969,St. Louis,1.063581283619669,0.5317906418098345,2
24,1969,Toronto,0.49694523794154655,0.49694523794154655,1
25,1969,Washington,0.484385091364267,0.2421925456821335,2
26,1970,Atlanta,-0.3153438340355456,-0.10511461134518187,3
27,1970,Baltimore,3.053896513736064,1.526948256868032,2
28,1970,Bay Area,1.1327871730723524,0.1887978621787254,6
29,1970,Boston,-0.7820137139661492,-0.1955034284915373,4
30,1970,Buffalo,-1.153317018276396,-1.153317018276396,1
31,1970,Chicago,-1.0848796040053226,-0.2169759208010645,5
32,1970,Cincinnati,1.1577344090635882,0.5788672045317941,2
33,1970,Cleveland,-0.31560602143587246,-0.15780301071793623,2
34,1970,Dallas,1.138625129530619,1.138625129530619,1
35,1970,Denver,-0.4481041370583023,-0.4481041370583023,1
36,1970,Detroit,0.9004786710720307,0.22511966776800768,4
37,1970,Green Bay,-0.2718008303651932,-0.2718008303651932,1
38,1970,Houston,-1.3118693692630183,-0.6559346846315092,2
39,1970,Kansas City,-0.8351501944266955,-0.41757509721334773,2
40,1970,Los Angeles,0.5146421938114839,0.10292843876229678,5
41,1970,Milwaukee,0.2509679615768243,0.12548398078841216,2
42,1970,Minnesota,2.4048533223827526,0.8016177741275842,3
43,1970,Montreal,0.15260369238503324,0.07630184619251662,2
44,1970,New Orleans,-1.505923483567896,-1.505923483567896,1
45,1970,New York,3.6324886611288356,0.6054147768548059,6
46,1970,Philadelphia,-2.5377862398348037,-0.6344465599587009,4
47,1970,Phoenix,-0.1999538251677112,-0.1999538251677112,1
48,1970,Pittsburgh,-0.5802493677885249,-0.1934164559295083,3
49,1970,San Diego,-2.94366981347054,-0.9812232711568467,3
50,1970,Seattle,-0.5073012478290586,-0.5073012478290586,1
51,1970,South Florida,1.138625129530619,1.138625129530619,1
52,1970,St. Louis,0.7050976061303068,0.23503253537676894,3
53,1970,Toronto,-0.24590066545099998,-0.24590066545099998,1
54,1970,Washington,-1.143931097478486,-0.571965548739243,2
55,1971,Atlanta,-0.1401600332605565,-0.04672001108685217,3
56,1971,Baltimore,2.0048764988255416,1.0024382494127708,2
57,1971,Bay Area,4.0682023491985095,0.813640469839702,5
58,1971,Boston,2.0650020757257184,0.5162505189314296,4
59,1971,Buffalo,-4.553482315349727,-1.5178274384499089,3
60,1971,Chicago,1.702633754675067,0.3405267509350134,5
61,1971,Cincinnati,-0.8425606967316035,-0.42128034836580175,2
62,1971,Cleveland,-3.1924447836290986,-1.0641482612096995,3
63,1971,Dallas,1.5433330754835182,1.5433330754835182,1
64,1971,Denver,-0.9645832018582278,-0.9645832018582278,1
65,1971,Detroit,0.3886954405786607,0.09717386014466517,4
66,1971,Green Bay,-0.7716664820370783,-0.7716664820370783,1
67,1971,Houston,-1.1352976125749004,-0.5676488062874502,2
68,1971,Kansas City,1.7360477376398415,0.8680238688199208,2
69,1971,Los Angeles,-0.6544210289472282,-0.1090701714912047,6
70,1971,Milwaukee,1.1061685402076016,0.5530842701038008,2
71,1971,Minnesota,0.7663486585294014,0.2554495528431338,3
72,1971,Montreal,0.00515638690382092,0.00257819345191046,2
73,1971,New Orleans,-0.7716664820370783,-0.7716664820370783,1
74,1971,New York,0.969454013204206,0.16157566886736766,6
75,1971,Philadelphia,-1.1009820426497323,-0.2752455106624331,4
76,1971,Phoenix,0.5834773150616164,0.5834773150616164,1
77,1971,Pittsburgh,0.28690686838972135,0.09563562279657378,3
78,1971,Portland,-1.0011114928546812,-1.0011114928546812,1
79,1971,San Diego,-2.1402231181565163,-0.7134077060521721,3
80,1971,Seattle,-0.2534050856560816,-0.2534050856560816,1
81,1971,South Florida,1.3504165177123482,1.3504165177123482,1
82,1971,St. Louis,0.19063985100750347,0.06354661700250115,3
83,1971,Toronto,0.17265020124464178,0.17265020124464178,1
84,1971,Vancouver,-0.9495763473221647,-0.9495763473221647,1
85,1971,Washington,-0.4684285613230488,-0.2342142806615244,2
86,1972,Atlanta,-0.9574888757206531,-0.31916295857355104,3
87,1972,Baltimore,0.06710012266612544,0.03355006133306272,2
88,1972,Bay Area,2.7627649127526066,0.5525529825505213,5
